Time (s),Device ID,Source Cell ID,Destination Cell ID
6.8s,1,18,11
636.18s,1,11,10
6.91s,2,15,9
643.42s,2,9,10
11.67s,3,12,10
17.05s,4,12,19
353.63s,4,19,9
650.7s,4,9,10
16.3s,5,12,9
355.38s,5,9,10
22.77s,6,5,15
355.41s,6,15,10
27.03s,7,4,16
657.37s,7,16,10
23506.8s,7,10,13
27951.61s,7,13,10
28750.19s,7,10,13
29569.27s,7,13,10
29995.12s,7,10,13
31601.16s,7,13,10
44487.0s,7,10,13
54145.69s,7,13,10
58123.69s,7,10,13
58565.7s,7,13,10
33.94s,8,1,18
362.57s,8,18,10
31.6s,9,13,10
32.21s,10,17,18
373.06s,10,18,10
38.91s,11,18,11
378.3s,11,11,10
40.43s,12,16,18
384.1s,12,18,9
677.1s,12,9,10
44.08s,13,12,10
43.02s,14,17,9
383.93s,14,9,10
44.06s,15,7,5
688.84s,15,5,10
52.57s,17,18,12
63.97s,19,2,5
695.76s,19,5,10
70.06s,20,9,2
398.66s,20,2,10
68.6s,21,12,10
74.82s,22,2,5
704.91s,22,5,10
76.22s,23,6,10
76.77s,24,14,8
709.47s,24,8,10
89.22s,27,11,5
409.33s,27,5,10
95.44s,28,13,10
95.78s,29,10,9
14409.58s,29,9,10
15319.51s,29,10,9
16245.63s,29,9,10
96.31s,30,7,10
100.68s,31,15,1
425.98s,31,1,10
101.99s,32,15,4
432.03s,32,4,10
103.2s,33,17,7
438.89s,33,7,10
110.49s,34,8,1
437.24s,34,1,9
10609.13s,34,9,10
11548.74s,34,10,9
14181.64s,34,9,10
112.92s,35,3,12
445.28s,35,12,10
117.77s,36,6,10
117.73s,38,17,10
125.11s,39,16,1
456.75s,39,1,10
128.03s,40,7,10
135.95s,41,1,19
462.85s,41,19,10
140.68s,42,5,10
140.64s,43,15,12
464.63s,43,12,10
143.58s,44,13,10
144.9s,45,17,10
148.14s,46,4,9
3712.6s,46,9,10
5546.57s,46,10,3
6322.77s,46,3,9
16506.15s,46,9,10
153.01s,47,9,10
157.19s,48,3,9
482.48s,48,9,10
158.15s,49,12,10
160.63s,50,5,7
487.07s,50,7,10
166.58s,51,18,11
494.86s,51,11,10
167.21s,52,2,7
493.35s,52,7,10
174.5s,54,16,4
497.96s,54,4,10
183.43s,55,10,12
505.81s,55,12,9
18538.98s,55,9,1
19001.46s,55,1,2
20712.67s,55,2,13
48033.18s,55,13,10
189.35s,57,9,10
189.07s,58,12,9
507.59s,58,9,10
197.68s,60,12,9
796.79s,60,9,10
201.71s,61,5,16
521.4s,61,16,10
208.33s,62,7,2
527.07s,62,2,10
43344.4s,62,10,13
43872.82s,62,13,10
44397.34s,62,10,13
46418.74s,62,13,10
205.57s,63,1,11
526.84s,63,11,10
211.04s,64,6,10
214.99s,65,1,18
531.39s,65,18,10
221.39s,66,14,9
4617.12s,66,9,10
225.67s,68,10,9
230.23s,69,9,10
233.17s,70,4,6
542.3s,70,6,16
831.28s,70,16,10
234.33s,71,7,10
22789.53s,71,10,13
65771.11s,71,13,10
238.77s,72,10,9
16557.95s,72,9,2
16758.76s,72,2,10
20741.48s,72,10,13
243.53s,73,15,9
548.99s,73,9,10
246.32s,74,17,10
253.54s,75,2,8
549.58s,75,8,10
258.55s,76,15,10
257.08s,77,19,10
260.3s,78,10,9
266.86s,79,13,10
266.38s,80,10,9
14513.78s,80,9,10
35657.11s,80,10,13
37022.16s,80,13,10
271.8s,81,12,19
567.89s,81,19,10
275.08s,82,16,10
274.75s,83,12,9
576.81s,83,9,10
282.8s,84,9,10
285.76s,85,5,16
580.75s,85,16,10
290.44s,86,11,10
296.53s,87,19,10
298.67s,88,19,10
303.66s,89,1,11
597.33s,89,11,10
303.47s,90,4,9
14299.05s,90,9,10
27123.06s,90,10,13
308.29s,91,6,10
308.05s,92,12,9
610.7s,92,9,10
314.99s,93,4,6
609.2s,93,6,9
14309.43s,93,9,10
26918.27s,93,10,13
27714.17s,93,13,10
28128.34s,93,10,13
29338.72s,93,13,10
35677.31s,93,10,13
36839.38s,93,13,10
57940.48s,93,10,13
58694.63s,93,13,10
59417.64s,93,10,13
60284.28s,93,13,10
61002.14s,93,10,13
64213.92s,93,13,10
315.75s,94,14,10
325.19s,95,7,6
616.02s,95,6,10
328.54s,97,14,9
619.53s,97,9,10
11688.6s,97,10,9
12884.67s,97,9,10
335.83s,98,4,5
626.33s,98,5,10
336.9s,99,16,10
342.68s,100,4,3
632.16s,100,3,10
4698.85s,100,10,9
4955.13s,100,9,6
5932.17s,100,6,10
