Time (s),Device ID,Source Cell ID,Destination Cell ID
0s,44,14,14
0s,71,10,10
1s,23,7,7
1s,29,8,8
2s,7,12,12
2s,29,19,19
2s,69,5,5
2s,81,1,1
2s,85,15,15
3s,11,5,5
3s,54,9,9
4s,4,18,18
4s,62,9,9
4s,71,18,18
5s,41,4,4
5s,51,18,18
6s,45,16,16
7s,2,10,10
7s,73,14,14
8s,7,17,17
8s,29,4,4
8s,34,6,6
9s,41,8,8
9s,54,7,7
9s,71,10,10
9s,93,10,10
10s,81,4,4
12s,5,14,14
12s,45,15,15
13s,34,16,16
13s,41,4,4
13s,54,9,9
14s,54,7,7
14s,71,18,18
17s,22,16,16
17s,26,12,12
17s,37,5,5
17s,45,16,16
17s,71,10,10
18s,16,19,19
19s,90,5,5
21s,51,14,14
21s,90,15,15
22s,22,8,8
22s,34,6,6
22s,51,18,18
22s,88,10,10
23s,11,3,3
23s,35,7,7
23s,51,14,14
24s,6,2,2
24s,71,18,18
26s,71,10,10
27s,6,18,18
27s,22,16,16
28s,70,10,10
29s,37,3,3
29s,71,18,18
30s,5,5,5
30s,26,16,16
30s,73,10,10
31s,37,5,5
31s,82,14,14
32s,34,16,16
33s,70,15,15
34s,3,16,16
34s,51,18,18
35s,3,15,15
35s,5,14,14
35s,82,19,19
36s,41,8,8
36s,52,7,7
36s,71,10,10
37s,3,16,16
37s,41,4,4
37s,52,10,10
38s,4,17,17
38s,5,5,5
38s,35,4,4
38s,73,14,14
38s,82,14,14
39s,10,5,5
39s,35,7,7
40s,4,18,18
40s,95,17,17
41s,10,6,6
41s,54,4,4
41s,56,9,9
42s,35,4,4
42s,57,1,1
43s,56,16,16
44s,51,19,19
44s,95,16,16
45s,22,8,8
46s,55,10,10
47s,45,15,15
49s,50,1,1
50s,5,14,14
50s,22,16,16
50s,51,14,14
50s,87,18,18
50s,88,15,15
51s,73,10,10
51s,79,17,17
51s,99,9,9
52s,55,18,18
54s,3,15,15
54s,20,14,14
54s,32,8,8
54s,63,9,9
54s,79,6,6
54s,99,10,10
55s,57,3,3
56s,20,18,18
56s,54,7,7
57s,30,15,15
57s,87,19,19
58s,10,5,5
58s,35,7,7
59s,51,19,19
60s,19,18,18
61s,5,5,5
61s,10,6,6
61s,11,5,5
62s,35,4,4
62s,54,4,4
62s,63,10,10
62s,99,9,9
63s,30,16,16
64s,4,2,2
64s,5,13,13
64s,16,8,8
64s,51,14,14
66s,30,15,15
66s,93,7,7
67s,29,19,19
68s,49,12,12
69s,2,14,14
69s,30,16,16
69s,49,17,17
69s,50,7,7
69s,87,18,18
70s,35,7,7
70s,51,19,19
70s,56,15,15
70s,84,12,12
72s,23,11,11
72s,53,18,18
73s,2,10,10
73s,23,7,7
74s,4,17,17
74s,50,1,1
75s,4,2,2
75s,78,8,8
76s,16,19,19
76s,30,15,15
77s,30,16,16
77s,60,12,12
77s,91,4,4
78s,2,14,14
78s,41,19,19
78s,78,19,19
78s,90,5,5
79s,1,11,11
79s,4,18,18
79s,24,14,14
80s,55,11,11
81s,53,10,10
84s,1,12,12
84s,56,16,16
85s,22,8,8
85s,78,8,8
85s,99,7,7
86s,23,10,10
86s,60,3,3
86s,63,9,9
86s,93,11,11
87s,5,5,5
87s,56,15,15
87s,63,10,10
88s,49,16,16
88s,86,13,13
89s,37,1,1
89s,51,14,14
89s,60,13,13
90s,11,3,3
90s,24,15,15
90s,37,5,5
90s,76,12,12
90s,84,11,11
91s,56,16,16
91s,89,3,3
91s,93,7,7
92s,8,2,2
92s,64,7,7
92s,76,16,16
92s,89,5,5
93s,60,3,3
93s,76,12,12
93s,85,5,5
94s,81,1,1
95s,86,3,3
95s,91,1,1
95s,98,18,18
96s,26,12,12
96s,42,3,3
99s,1,11,11
99s,22,16,16
99s,26,16,16
99s,85,14,14
100s,56,15,15
100s,84,12,12
100s,88,10,10
101s,44,13,13
101s,48,8,8
101s,56,16,16
101s,98,11,11
102s,13,3,3
102s,86,13,13
104s,20,10,10
104s,86,3,3
105s,37,1,1
105s,67,14,14
105s,81,4,4
105s,86,13,13
105s,88,15,15
106s,50,7,7
106s,88,10,10
106s,91,4,4
109s,49,17,17
109s,54,7,7
109s,61,4,4
109s,84,11,11
110s,60,12,12
110s,81,1,1
111s,8,1,1
111s,48,4,4
111s,67,15,15
111s,81,4,4
111s,98,18,18
112s,8,2,2
112s,86,3,3
112s,88,9,9
112s,98,11,11
113s,96,17,17
114s,11,5,5
114s,21,1,1
114s,60,3,3
114s,73,14,14
115s,54,4,4
115s,86,13,13
115s,89,3,3
115s,98,18,18
116s,30,15,15
116s,85,5,5
117s,60,13,13
118s,2,18,18
118s,23,7,7
118s,64,9,9
119s,11,3,3
119s,88,10,10
120s,88,9,9
121s,20,18,18
122s,12,11,11
122s,35,4,4
122s,51,19,19
122s,57,1,1
123s,11,5,5
123s,48,8,8
124s,35,7,7
